gene_name	rep	condition	total	sup	pel
ENSG00000151748.14	1	1	2787.09	1857.18	314.03
ENSG00000151917.17	1	1	122	58	42
ENSG00000152785.6	1	1	281	141	37
ENSG00000153443.12	1	1	71	395	858
ENSG00000154237.12	1	1	2724	7715	14362
ENSG00000154710.17	1	1	3828.56	3003.04	1413.06
ENSG00000155158.20	1	1	390	216	195
ENSG00000155324.9	1	1	2822.18	1898	1483
ENSG00000156599.10	1	1	5624	11783	4808
ENSG00000156711.16	1	1	1069	2309	1888
ENSG00000156876.9	1	1	1709	535	817
ENSG00000157306.14	1	1	108.81	63.17	387.85
ENSG00000157796.17	1	1	1839	1054	2548
ENSG00000158169.13	1	1	1603	2589	1179
ENSG00000158517.13	1	1	2571.11	15857.98	25032.53
ENSG00000158805.11	1	1	543	1444	7329
ENSG00000159210.9	1	1	1758	4138	789
ENSG00000159904.11	1	1	123.55	187.5	180.2
ENSG00000160410.14	1	1	976	6224	5347
ENSG00000160563.13	1	1	1199.48	4454.56	977.07
ENSG00000161204.11	1	1	2122	5502	9432
ENSG00000161328.10	1	1	40	149	690
ENSG00000162063.12	1	1	1421	8427	4429
ENSG00000162337.11	1	1	268	2431	2317
ENSG00000162433.14	1	1	23380.45	25524.22	6152.72
ENSG00000162576.16	1	1	10	40	94
ENSG00000162639.15	1	1	429	277	70
ENSG00000162910.18	1	1	427	2311	3931
ENSG00000162972.10	1	1	1486	1055.89	460.55
ENSG00000163281.11	1	1	3201	1335	1208
ENSG00000163288.13	1	1	37	39	64
ENSG00000163864.16	1	1	44	59	65
ENSG00000164104.11	1	1	29698	11306	4116
ENSG00000164182.10	1	1	1048.78	274.93	183
ENSG00000164309.14	1	1	124	55	301
ENSG00000164620.8	1	1	53	225	2009
ENSG00000164880.15	1	1	535	3472	18464
ENSG00000164978.17	1	1	1568	2161	516
ENSG00000165271.16	1	1	997	6594	6278
ENSG00000165630.13	1	1	2416.09	689	387.38
ENSG00000165650.11	1	1	6112	3625	1831
ENSG00000165669.13	1	1	2845	1478	1923
ENSG00000165752.16	1	1	35	35	36
ENSG00000165792.17	1	1	4634	10244	15966
ENSG00000165804.15	1	1	70	256	474
ENSG00000165861.13	1	1	1073	2966	1768
ENSG00000165914.14	1	1	6	23	25
ENSG00000166233.14	1	1	7353	7115	3759
ENSG00000166260.11	1	1	3849	2535	2755
ENSG00000166289.5	1	1	443	3364	2085
ENSG00000166441.12	1	1	26698.89	48744.46	7122.47
ENSG00000166526.16	1	1	2707	3127	2503
ENSG00000166743.9	1	1	18	19	27
ENSG00000166886.12	1	1	2239	6247	4707
ENSG00000167182.14	1	1	107	605	436
ENSG00000167553.15	1	1	18557.31	84493.51	10136.93
ENSG00000167699.13	1	1	7853	5797	2515
ENSG00000168061.14	1	1	129	853	372
ENSG00000168273.7	1	1	464	422	220
ENSG00000168301.12	1	1	661	658	257
ENSG00000169032.9	1	1	8735	11908	2509
ENSG00000169057.21	1	1	1665	3494	3349
ENSG00000169251.12	1	1	8961	3511	2351
ENSG00000169609.13	1	1	1671	1694	1018
ENSG00000169752.16	1	1	387	239	131
ENSG00000170190.15	1	1	11	59	154
ENSG00000170417.15	1	1	449	309	132
ENSG00000170584.10	1	1	4161	2094	780
ENSG00000170852.10	1	1	3511	2258	1861
ENSG00000171101.13	1	1	111	243	232
ENSG00000171307.18	1	1	974	3851	1631
ENSG00000171522.5	1	1	424	1052	647
ENSG00000171790.15	1	1	20	27	111
ENSG00000172062.16	1	1	4429.6	1917.63	1275.21
ENSG00000172081.13	1	1	8891	79043	12250
ENSG00000172534.13	1	1	428	5659	6068
ENSG00000172590.18	1	1	1352	1583	696
ENSG00000173077.15	1	1	51	29	18
ENSG00000173145.11	1	1	9785	3780	4348
ENSG00000173218.14	1	1	574	1337	410
ENSG00000173221.13	1	1	8701	5446	2854
ENSG00000173230.15	1	1	9484	4804	6250
ENSG00000173402.11	1	1	475	2152	1048
ENSG00000173575.20	1	1	11724.17	16169.71	16637.84
ENSG00000173638.18	1	1	184	1699	1882
ENSG00000173926.5	1	1	1099	3458	978
ENSG00000174013.7	1	1	4014	1990	482
ENSG00000174502.18	1	1	32	114	57
ENSG00000174943.10	1	1	1310	2606	2712
ENSG00000175087.9	1	1	2185	914	258
ENSG00000175787.16	1	1	1326	1367	1068
ENSG00000176222.8	1	1	342.46	101.04	162.28
ENSG00000176248.8	1	1	592	2760	12693
ENSG00000177034.15	1	1	7314	2722	2436
ENSG00000177098.8	1	1	72	88	120
ENSG00000177103.13	1	1	13	109	210
ENSG00000177427.12	1	1	240	1154	1385
ENSG00000177697.18	1	1	781	4124	6197
ENSG00000177728.16	1	1	631	3450	20446
ENSG00000178502.5	1	1	843	1083	247
ENSG00000178567.7	1	1	11927	5133	10254
ENSG00000178607.15	1	1	1250	2284	2402
ENSG00000178700.7	1	1	1255	638	285
ENSG00000179387.9	1	1	2605	606	780
ENSG00000180228.12	1	1	5051	4121	1648
ENSG00000180530.10	1	1	3828	1658	2422
ENSG00000180694.13	1	1	6445	2899	1149
ENSG00000180822.11	1	1	1098	2097	2494
ENSG00000181026.14	1	1	4100	9648	9035
ENSG00000182117.5	1	1	7260	14978	3398
ENSG00000182568.16	1	1	15	36	43
ENSG00000183128.7	1	1	26	101	42
ENSG00000183150.7	1	1	423	477	818
ENSG00000183864.4	1	1	788.59	4564	1536
ENSG00000184208.10	1	1	261	461	271
ENSG00000184277.12	1	1	4627	4282	2469
ENSG00000184508.11	1	1	696	1804	718
ENSG00000185960.14	1	1	24	66	76
ENSG00000186204.14	1	1	14	26	186
ENSG00000186654.20	1	1	231	1292	2468.77
ENSG00000187630.16	1	1	306.26	999.01	406.06
ENSG00000187735.13	1	1	16607.43	6614.37	1960.96
ENSG00000187741.14	1	1	2495	9296	18726
ENSG00000187792.4	1	1	91	321	183
ENSG00000188060.7	1	1	281	596	88
ENSG00000188158.15	1	1	26	49	31
ENSG00000188647.12	1	1	11942	2881	13266
ENSG00000188859.6	1	1	393	573	596
ENSG00000189007.15	1	1	5293	2549	3056
ENSG00000189319.13	1	1	1003.17	3697.58	2046.47
ENSG00000196118.11	1	1	112	291	986
ENSG00000196204.11	1	1	1413.87	3294.93	1321.65
ENSG00000196305.17	1	1	10858	21616	14622
ENSG00000196329.11	1	1	822.85	1273.85	614.47
ENSG00000196539.3	1	1	364.58	2010.55	2171.19
ENSG00000196562.14	1	1	53	216	326
ENSG00000196656.7	1	1	1678.64	11725.25	873.94
ENSG00000196950.13	1	1	6000	3114	2851
ENSG00000197249.13	1	1	170	482	98
ENSG00000197265.8	1	1	6368	2624	1036
ENSG00000197483.9	1	1	8	36	247
ENSG00000197653.15	1	1	7	13	30
ENSG00000198018.6	1	1	635	993	222
ENSG00000198400.11	1	1	6	32	94
ENSG00000198604.10	1	1	11139	4718	3102
ENSG00000198646.13	1	1	1710	6203	2507
ENSG00000198815.8	1	1	6138	9871	4308
ENSG00000198858.9	1	1	753	4863	1962
ENSG00000198879.11	1	1	5562	10448	10099
ENSG00000198934.4	1	1	14	33	35
ENSG00000203760.8	1	1	1152	619	151
ENSG00000204227.4	1	1	588	2030	1753
ENSG00000204397.7	1	1	627.56	330	104.28
ENSG00000204472.12	1	1	66	42	16
ENSG00000204475.9	1	1	214	1239	209
ENSG00000204802.3	1	1	309.84	583.67	580.94
ENSG00000205138.3	1	1	522	1952	717
ENSG00000205268.10	1	1	8040	4713	3922
ENSG00000205277.9	1	1	25	61	39
ENSG00000205758.11	1	1	3600	1521	2253
ENSG00000205808.5	1	1	661	663	656
ENSG00000212743.2	1	1	142	28	226
ENSG00000213551.4	1	1	4644.87	5862.41	3142.84
ENSG00000213889.10	1	1	60	74	92
ENSG00000213906.9	1	1	268.14	265.83	3367.63
ENSG00000213977.7	1	1	176.24	759.75	281.62
ENSG00000214176.9	1	1	619.97	1543.7	9312.8
ENSG00000214309.4	1	1	13	72	55
ENSG00000214391.3	1	1	160.45	153.32	63.02
ENSG00000214455.4	1	1	97.17	33.78	34.02
ENSG00000214783.9	1	1	129.57	562.87	687.41
ENSG00000219200.11	1	1	1176.87	4250.85	1953.6
ENSG00000221944.7	1	1	582	346	1393
ENSG00000223959.8	1	1	1165	5106	4843
ENSG00000224424.7	1	1	50	127	49
ENSG00000225210.10	1	1	85.28	49.51	157.04
ENSG00000225535.6	1	1	18	21	16
ENSG00000225548.6	1	1	108	26	62
ENSG00000226942.2	1	1	15.52	62.77	143.43
ENSG00000226950.6	1	1	4733	14870	5046
ENSG00000227017.1	1	1	80	220	63
ENSG00000228727.8	1	1	127.42	74.41	814.98
ENSG00000229474.6	1	1	466	734	1824
ENSG00000229638.1	1	1	1870.25	1213.1	249
ENSG00000230092.7	1	1	42	16	73
ENSG00000230301.6	1	1	71	13	198
ENSG00000231160.9	1	1	16	6	40
ENSG00000232504.4	1	1	15	10	21
ENSG00000232906.1	1	1	185	37	107
ENSG00000233175.2	1	1	58	97	652
ENSG00000233296.1	1	1	8	6	19
ENSG00000233912.1	1	1	47.95	10	15.97
ENSG00000233913.7	1	1	290.67	153.65	40.38
ENSG00000234545.7	1	1	5538.49	1851.92	1646.17
ENSG00000234608.7	1	1	1626	1255	729
ENSG00000234618.1	1	1	134.72	295.03	153.44
ENSG00000234771.3	1	1	771	2030	3440
ENSG00000236137.1	1	1	446	726	458
ENSG00000236941.6	1	1	247	187	131
ENSG00000237265.6	1	1	8	10	33
ENSG00000237506.3	1	1	9.97	641.33	94.93
ENSG00000238197.5	1	1	102	24	68
ENSG00000239557.1	1	1	44.24	17	54
ENSG00000240053.8	1	1	389.78	418.08	3112.25
ENSG00000240376.1	1	1	82.41	102.38	23
ENSG00000240399.1	1	1	97	38	162
ENSG00000243970.3	1	1	1145.11	1064	5191.01
ENSG00000244509.3	1	1	6164	13939	2459
ENSG00000244754.8	1	1	11174.97	3911	3991
ENSG00000245849.7	1	1	738	519	625
ENSG00000247735.2	1	1	19	17	20
ENSG00000249334.1	1	1	44	28	13
ENSG00000249341.1	1	1	99	52	56
ENSG00000249896.2	1	1	15	9	25
ENSG00000250240.5	1	1	25	29	15
ENSG00000250896.1	1	1	65.58	74	28.38
ENSG00000250933.1	1	1	54	28	306
