gene_name	rep	condition	total	sup	pel
ENSG00000011485.14	1	1	5186	17588	11551
ENSG00000011523.13	1	1	1374	1637	1303
ENSG00000011566.14	1	1	85	30	62
ENSG00000011590.13	1	1	609	1762	5396
ENSG00000011638.10	1	1	765	1858	273
ENSG00000012048.21	1	1	8074	4682	2273
ENSG00000012061.15	1	1	1729	8091	3776
ENSG00000012124.16	1	1	12529	41121	21501
ENSG00000012171.19	1	1	28	59	546
ENSG00000012174.11	1	1	2366	1533.57	601.52
ENSG00000012211.12	1	1	142	946	1114
ENSG00000012232.8	1	1	1470	5404	1528
ENSG00000012660.13	1	1	23690	19062	15733
ENSG00000012779.10	1	1	31	91	162
ENSG00000012822.15	1	1	3492	6109	18448.17
ENSG00000012963.14	1	1	13351	13674	4281
ENSG00000012983.11	1	1	3592	1415	1622
ENSG00000013016.15	1	1	629	2092	486
ENSG00000013275.7	1	1	1141	5985	3999
ENSG00000013288.8	1	1	829	3295	5179
ENSG00000013306.15	1	1	1604	9935	9405
ENSG00000013364.18	1	1	1569	9433.95	9078
ENSG00000013374.16	1	1	6758	6437	3176
ENSG00000013375.15	1	1	4079	1819	3548
ENSG00000013392.7	1	1	914	581	589
ENSG00000013441.15	1	1	21664	6059	22136
ENSG00000013503.9	1	1	1479	1258	430
ENSG00000013523.9	1	1	2800.66	5585.76	6762.37
ENSG00000013561.17	1	1	3134	2372	767
ENSG00000013563.13	1	1	287	773	600
ENSG00000013573.16	1	1	2093.61	5665.25	18289.08
ENSG00000013725.14	1	1	17	116	169
ENSG00000013810.18	1	1	1812	7384	8071
ENSG00000014123.9	1	1	6961	2739	3639
ENSG00000014138.8	1	1	4657.2	11232.3	5488.37
ENSG00000014164.6	1	1	107	976	2050
ENSG00000014216.15	1	1	1648	7495	9737
ENSG00000014641.17	1	1	36575	30323	9419
ENSG00000014824.13	1	1	9401	3690	1909
ENSG00000014914.20	1	1	34	55	159
ENSG00000014919.12	1	1	3070.86	4408.97	1731.96
ENSG00000015133.18	1	1	3643	8731	12279
ENSG00000015153.14	1	1	2464	963	1011
ENSG00000015171.19	1	1	4003	1794	2449
ENSG00000015285.10	1	1	237	2017	1444
ENSG00000015475.18	1	1	5101	12678	4010
ENSG00000015479.18	1	1	38647.65	14856.79	8428.46
ENSG00000015520.14	1	1	74	309	1061
ENSG00000015532.9	1	1	861	3837	4101
ENSG00000015568.12	1	1	738.21	772.79	728.15
ENSG00000015592.16	1	1	133	171	45
ENSG00000015676.17	1	1	4632	14760	7680
ENSG00000016391.10	1	1	1092	3154	1917
ENSG00000016864.18	1	1	3074	2486	2989
ENSG00000017260.19	1	1	18149	7478	11605
ENSG00000017427.16	1	1	1309	1048	198
ENSG00000017483.14	1	1	1580	11871	5784
ENSG00000017797.12	1	1	6490	7394	2190
ENSG00000018189.12	1	1	809	202	522
ENSG00000018280.16	1	1	9	46	61
ENSG00000018408.14	1	1	1063	1714	894
ENSG00000018510.14	1	1	8133	2838	1680
ENSG00000018610.14	1	1	1834.04	1785.86	405.86
ENSG00000018699.12	1	1	4157	3228	1280
ENSG00000018869.16	1	1	48	23	52
ENSG00000019144.18	1	1	12	16	43
ENSG00000019485.13	1	1	101	242	319
ENSG00000019582.14	1	1	13924	172332	57725
ENSG00000019995.6	1	1	2283.23	2169.09	856.32
ENSG00000020129.15	1	1	211	2012	1970
ENSG00000020256.19	1	1	939	3727	828
ENSG00000020426.10	1	1	2258	1772	539
ENSG00000020577.13	1	1	58	79	140
ENSG00000020633.18	1	1	2342	9301	7203
ENSG00000020922.12	1	1	7024	2419	2589
ENSG00000021300.13	1	1	126	443	226
ENSG00000021355.12	1	1	236	158	67
ENSG00000021574.12	1	1	2639	1327	266
ENSG00000021645.18	1	1	64	69	316
ENSG00000021776.10	1	1	10486	7172	4455
ENSG00000021826.15	1	1	563	482	1758
ENSG00000022277.12	1	1	5640.89	8310	2492.98
ENSG00000022556.15	1	1	182	319.45	269.04
ENSG00000022567.9	1	1	161	640	778
ENSG00000022840.15	1	1	3863	8755	2844
ENSG00000022976.15	1	1	621	1228	1303
ENSG00000023041.11	1	1	3069	2201	4689
ENSG00000023171.17	1	1	4576	9025	11297.97
ENSG00000023191.16	1	1	1056	7540	10330
ENSG00000023228.13	1	1	14004.63	10887.24	3211
ENSG00000023287.12	1	1	3695	1328	940
ENSG00000023318.7	1	1	2327	2249	1340
ENSG00000023330.14	1	1	6477	16901	3651
ENSG00000023445.13	1	1	114027	33859	28362
ENSG00000023516.8	1	1	22353	10632	7812
ENSG00000023572.9	1	1	1183	470	195
ENSG00000023608.4	1	1	2354.97	1255	290.77
ENSG00000023697.12	1	1	3441	1792	990
ENSG00000023734.10	1	1	8590	7218	1210
ENSG00000023839.11	1	1	184	174	475
ENSG00000023892.10	1	1	2101	7153	4963
ENSG00000023902.13	1	1	3164	7688	2923
ENSG00000023909.9	1	1	2087	1217	257
ENSG00000024048.10	1	1	7836	4994	5277
ENSG00000024526.16	1	1	5688.97	2001	3262
ENSG00000024862.17	1	1	2226	1413	355
ENSG00000025039.14	1	1	2046	1083	271
ENSG00000025156.12	1	1	3242	1942	1201
ENSG00000025293.16	1	1	5592	4660	3784
ENSG00000025423.11	1	1	52	52	13
ENSG00000025434.18	1	1	166	527	357
ENSG00000025708.13	1	1	576.03	3095.71	14234.47
ENSG00000025770.18	1	1	1230	5453	6813
ENSG00000025772.7	1	1	2355	8011	2336
ENSG00000025796.13	1	1	7426.93	3445.98	1577.68
ENSG00000025800.13	1	1	6298.83	11836	1810
ENSG00000026025.15	1	1	12059	24533	10608
ENSG00000026036.22	1	1	54.05	353.1	5923.44
ENSG00000026103.21	1	1	17609	9989	7232
ENSG00000026297.15	1	1	9244	15301	11833.26
ENSG00000026508.18	1	1	13356	18914	6496
ENSG00000026652.13	1	1	336	329	1016
ENSG00000026751.16	1	1	26451	26673	13029
ENSG00000026950.16	1	1	6308.15	7222.21	11129.98
ENSG00000027001.9	1	1	2616	2131	2137
ENSG00000027075.14	1	1	12289	23290	9177
ENSG00000027697.14	1	1	29530	12337	6503
ENSG00000027847.13	1	1	211	1273	1632
ENSG00000027869.11	1	1	196	1077	750
ENSG00000028116.17	1	1	5761	3217	1758
ENSG00000028137.18	1	1	4960	21789	2684
ENSG00000028203.17	1	1	13521	8564	3602
ENSG00000028277.21	1	1	3783	10797	11854
ENSG00000028310.17	1	1	783	2401	7832
ENSG00000028528.14	1	1	10677	12669	8716
ENSG00000028839.9	1	1	2303	1084	522
ENSG00000029153.14	1	1	10539	5493	2483
ENSG00000029363.16	1	1	28695.11	10019.38	15090.83
ENSG00000029364.11	1	1	18369	17806	8631
ENSG00000029534.20	1	1	145	372	425
ENSG00000029639.10	1	1	2634	2840	1297
ENSG00000029725.16	1	1	13176	5705	3741
ENSG00000029993.14	1	1	2950	2203	809
ENSG00000030066.13	1	1	13146	14549	5482
ENSG00000030110.12	1	1	1475.74	6426.87	2067.95
ENSG00000030419.16	1	1	96114	39694	36845
ENSG00000030582.17	1	1	669	8969	20952
ENSG00000031003.10	1	1	5446	3897	3806
ENSG00000031081.10	1	1	5145	8761	2336
ENSG00000031691.6	1	1	2234	538	420
ENSG00000031698.12	1	1	5380	13847	6140
ENSG00000031823.14	1	1	1937	7346	5254
ENSG00000032219.18	1	1	4294	992	2691
ENSG00000032389.12	1	1	2384	8558	2490
ENSG00000032444.16	1	1	735	4329	7362
ENSG00000032742.17	1	1	530	171	214
ENSG00000033011.12	1	1	1016.58	3328.91	935.99
ENSG00000033030.13	1	1	3420	3514	2612
ENSG00000033050.8	1	1	1794.19	10570.61	3867.88
ENSG00000033100.16	1	1	814	3378	11261
ENSG00000033170.16	1	1	2271	2492	743
ENSG00000033178.12	1	1	14004	4406	6783
ENSG00000033327.12	1	1	58	113	93
ENSG00000033627.16	1	1	5361	13582	16322
ENSG00000033800.13	1	1	13675	11980	11150
ENSG00000033867.16	1	1	10690	3873	3800
ENSG00000034152.18	1	1	833	4917	1416
ENSG00000034510.5	1	1	24661	52606	20773
ENSG00000034533.11	1	1	1037	820	542
ENSG00000034677.12	1	1	29814	10813	20628
