gene_name	sup_latent	pel_latent	pvalue
8807	1.437973471323601	0.499902995342182	0.2975
8808	6.590716379357137	4.35745091981301	0.022
8809	6.94103153484523	4.571042394007755	0.0025
8810	1.7593495056359332	-0.03684357463377242	0.0795
8811	5.7207869493412815	2.5102921531130815	0.001
8812	5.894963488928145	2.670242780340794	0.001
8813	1.2337529786081587	0.30402032520115474	0.325
8814	7.205621521500477	4.400019249696263	0
8815	5.435677513507344	2.270082032193136	0
8816	3.4231853006006374	1.6750577607083168	0.0505
8817	1.468943855437016	0.31787878168859984	0.24
8818	6.667051334699131	3.1921097388380026	0
8819	4.420933570850329	2.055592039332149	0.0285
8820	5.108934953452768	2.159612348566932	0.019
8821	6.882841950593999	3.9395523323456514	0.002
8822	4.936990499207054	1.7370432393924347	0.009
8823	6.352598369715187	2.5211008129313117	0.001
8824	6.751739987136709	3.196713447442384	0
8825	6.289899240769321	4.613179156516259	0.021
8826	6.592373554900613	3.494881472007381	0.001
8827	5.3314540305641085	2.083104898262039	0.019
8828	4.5471491101914525	1.3006646655325307	0.004
8829	4.770179375834301	2.8752675738294684	0.025
8830	4.492041044947068	2.5386040439107926	0.0225
8831	5.476178355108507	3.847815412869834	0.036
8832	2.3604566409231293	1.3029612012675218	0.227
8833	6.003244826871124	3.752492342633617	0.006
8834	4.901814385387256	3.9985380478727723	0.1885
8835	1.7292670486472805	1.8323001131313446	1.0975
8836	5.41876023883589	2.495950317937833	0.003
8837	0.523998548661917	-0.22724790221572028	0.4335
8838	2.927496270374255	1.2395742855849239	0.071
8839	6.490383167380764	3.072955963231136	0
8840	8.061953587912516	6.661861727403684	0.0345
8841	3.9655006321348676	1.596526544154217	0.0345
8842	5.380545632410982	2.7079380553424235	0.005
8843	5.95472552667303	2.392877317008641	0
8844	8.212013926947975	4.4970560391765275	0
8845	4.558194040650832	2.1772437050575393	0.013
8846	3.104203110259374	1.70996496603372	0.0965
8847	0.3403285709272611	0.0323904268968053	0.753
8848	7.234749739423677	3.4087080592491725	0
8849	5.407715346115409	2.5896288633316464	0.003
8850	6.7333699014098425	3.328131739633014	5e-4
8851	6.939616839967808	4.520587798171533	0.0025
8852	5.311388321800218	2.4911371000334412	0.0035
8853	5.918707684637468	5.357359406258176	0.425
8854	5.578561554485243	2.6624495988146926	0.0035
8855	5.287018919802692	2.7125394259077398	0.005
8856	2.0882385258221072	1.324196724695025	0.405
8857	10.105793964078014	5.7421171389089185	0
8858	7.462142379015052	4.313451782913391	5e-4
8859	3.160622846166131	1.2761305577256778	0.067
8860	5.1286984705582626	1.924951466821744	0.0015
8861	4.007629165967483	2.4278755192081185	0.0515
8862	0.22047593368762097	-0.03171314345657983	0.761
8863	4.016645634345894	1.3795450360582455	0.008
8864	6.5277955319100665	3.9855951840037314	0.0045
8865	6.487207277137852	4.477613480077228	0.0095
8866	5.351241314391231	3.984194477032105	0.0755
8867	5.75729250767011	2.3417617538125493	0.0305
8868	5.429405405768328	2.1930505954049004	0.001
8869	6.042340364642968	2.521143943449232	5e-4
8870	6.083232403995623	2.221093975902393	0.001
8871	3.9854231875162247	2.7286215634538693	0.134
8872	5.152184478592857	2.4269098137675966	0.0015
8873	4.393970706656196	1.9564151404416488	0.169
8874	4.063365177650054	0.9823899373055917	0.0365
8875	1.9806796048683535	0.9454037722432638	0.2495
8876	7.186542557881805	5.204996980255876	0.011
8877	3.44231011344226	1.1622971967152216	0.128
8878	6.773471450865429	3.271854569778267	0
8879	6.3832753959523725	3.2130112336697296	0.0025
8880	7.020953656668285	3.04531572886395	0
8881	7.628868354796769	4.6097911190998815	0.001
8882	6.916115938793228	4.180550471003655	0.0135
8883	5.745707923604509	3.090573293173286	0.055
8884	4.82271949614489	2.2199651552830018	0.0155
8885	4.811555237649246	2.1830146658662617	0.018
8886	4.867526558080475	3.2215874718505724	0.045
8887	5.264184628853748	1.847490413531776	0.0035
8888	5.361140091721851	3.1859474557983516	0.01
8889	5.638632240491371	2.349922794792416	0.001
8890	5.636822630016832	2.5640560968409423	0.0105
8891	6.485239764502213	4.377914723737678	0.017
8892	6.094545582681583	3.6750465844565166	0.007
8893	3.5971649304850173	1.1464803395097838	0.031
8894	4.734762989717035	1.5389337054339123	0.0165
8895	1.3253212620957335	0.1489428735601714	0.3625
8896	5.81772113638939	2.4558637512644412	5e-4
8897	5.958393135129855	3.4978222958243337	0.027
8898	5.749882671359046	2.3609179954808925	5e-4
8899	6.323086782075349	2.8180293328478294	0.0065
8900	6.04839564362771	2.692856186438659	0.003
8901	5.109956131590874	2.4332400279268027	0.0125
8902	3.82159468343622	1.6733350412651178	0.027
8903	5.252588551989922	3.4074855447331025	0.255
8904	4.019186774049629	1.2591542007953849	0.02
8905	4.997980846057741	2.0562046184838287	0.016
8906	6.733287243270754	3.239595118004794	0.001
8907	2.0908871774116045	-0.3508181038694853	0.0305
8908	0.21474933437527804	0.3620719060610351	1.1145
8909	6.411037696315675	2.6817536378265077	0.0015
8910	7.74169200342742	4.456842855790666	0.002
8911	1.393101207491331	-0.09512865750240657	0.1995
8912	4.786307102860978	2.8838839019649987	0.0285
8913	5.791379556864655	2.6907097158943203	0
8914	7.579047607517069	4.797268544471866	0.0015
8915	5.672720109816268	3.3417972165433385	0.0125
8916	6.184286310032574	4.663153158908527	0.0405
8917	0.509630925918413	-0.5196181180593288	0.393
8918	4.689474978780938	2.5793412463070515	0.0315
8919	3.9093934329966196	2.6817691327791024	0.264
8920	6.724277885161667	3.0850410545053597	0.001
8921	6.684524931788965	3.2391850278959575	0.0025
8922	5.615390593425351	2.7806099872401897	5e-4
8923	5.721491743072528	2.288928145613646	0.011
8924	7.223737306698839	3.785351939917992	5e-4
8925	2.5949895711643025	0.7501154667269732	0.047
8926	1.8963763038858636	-0.3534203573549435	0.0985
8927	5.341596103076123	3.329793842789699	0.023
8928	2.3372525407575853	1.211324167143375	0.19
8929	2.7326813446772915	1.3667785367366758	0.137
8930	5.875984904538919	4.581411942750786	0.0955
8931	6.031479621880216	2.883664663090231	0.001
8932	6.68630666193136	2.620177108181002	5e-4
8933	3.657034913970159	0.9173367599959826	0.007
8934	6.276168279638834	3.8282749202893895	0.02
8935	4.834693194857479	2.2224933262945292	0.0075
8936	6.15810874528899	3.1461349911902836	0.0035
8937	3.6063729752448075	1.0646934942393005	0.101
8938	4.6686680439031845	2.3720816001015006	0.0405
8939	4.95310429382554	2.4688452323066232	0.0395
8940	3.9752269115794245	1.1073852556838217	0.0075
8941	4.875954827964254	2.1110718926364527	0.009
8942	5.2692899166696385	4.034079185724448	0.102
8943	7.388184069121742	3.7660639545922114	5e-4
8944	4.704772512940284	2.0538063454249724	0.004
8945	5.717295327029319	2.7313983911245767	0.018
8946	2.52747333624991	0.535644566175291	0.1975
8947	4.064589052322718	2.0640583448070933	0.0435
8948	6.835855123649328	3.026064296820876	5e-4
8949	2.904022494949535	0.821832355940593	0.091
8950	4.672071438440945	2.3585503832182857	0.0265
8951	2.4481835393997935	1.4250233820713212	0.266
8952	1.1359216553162013	0.32315117009300093	0.556
8953	5.538885954361239	2.9658435022490943	0.016
8954	4.994616772784493	2.0232760229241267	0.001
8955	7.049963235832086	3.8249992915787585	0.0015
8956	5.235328047074704	2.319086073737055	0.041
8957	4.97023727803831	1.3933103654552084	0.0015
8958	5.444272572457607	3.7638423904312006	0.031
8959	5.145804418353074	2.9321290341767092	0.008
8960	5.347285168535971	2.7465707175996634	0.006
8961	6.373447999958289	4.148119658900315	0.0165
8962	4.650166170542077	2.7291376354971835	0.111
8963	4.156639375807318	1.7905265178313563	0.014
8964	0.20269547703982987	-0.5881411783790296	0.5345
8965	6.384057790679973	4.318203322332026	0.0105
8966	4.554960813429707	1.8466071073616581	0.013
8967	4.336240512434252	1.8827089830066086	0.02
8968	6.4165372080622305	3.821585103621582	0.004
8969	6.828523420155003	3.2072305518593884	0
8970	4.714879758760009	2.265168283143276	0.03
8971	4.945465421577847	2.1967055438536462	0.0095
8972	4.9428172110901505	2.39882552036957	0.0195
8973	1.5126042256630714	0.7695644414403026	0.5495
8974	5.607664660484773	3.3156036069483603	0.0255
8975	5.458858753278095	2.9867317192705434	0.0195
