gene_name	condition_A	condition_B	p.value_frac	p.value_total	gene_count_condition_A	pel_count_condition_A	gene_count_condition_B	pel_count_condition_B
13	3	2	0.26175	0.1115	-1.5289275708281642	-0.9479126438975946	-0.9902323589075235	-0.5399468717065928
14	2	1	0.04325	0.891	6.125643411363056	-0.3329460791356588	5.916820252095952	-0.013781846166292798
14	3	1	0.00525	0.94525	6.197385704907558	-0.49731496879704407	5.916820252095952	-0.013781846166292798
14	3	2	0.2035	0.65375	6.197385704907558	-0.49731496879704407	6.125643411363056	-0.3329460791356588
15	2	1	0.005	0.9915	4.188967285601187	0.08244817986170838	3.761874682955347	0.5732105995049614
15	3	1	0.992	5e-4	3.0398100416041536	1.0897041965741794	3.761874682955347	0.5732105995049614
15	3	2	1	0	3.0398100416041536	1.0897041965741794	4.188967285601187	0.08244817986170838
16	2	1	0.0375	0.98675	2.670366043513561	-0.01375528113961997	2.2624449245026925	0.34310150073667045
16	3	1	0.9915	0	1.36282720022923	0.9216575034974417	2.2624449245026925	0.34310150073667045
16	3	2	1	0	1.36282720022923	0.9216575034974417	2.670366043513561	-0.01375528113961997
17	2	1	0.001	0.983	4.702591058746523	-0.10601595930945609	4.33594505272454	0.5028767620313017
17	3	1	0.24475	0.04175	4.0074720977602	0.35998669870457145	4.33594505272454	0.5028767620313017
17	3	2	0.98425	0	4.0074720977602	0.35998669870457145	4.702591058746523	-0.10601595930945609
18	2	1	0.83575	0.10125	5.601056990424258	-0.7962895498150574	5.801291837154538	-0.9651764170494621
18	3	1	0.9995	0.001	5.26726225764784	-0.15205681469945959	5.801291837154538	-0.9651764170494621
18	3	2	0.99975	0.029	5.26726225764784	-0.15205681469945959	5.601056990424258	-0.7962895498150574
19	2	1	0.062	0.9995	3.4429273071592372	-0.5914629830591351	2.9041359707369265	-0.3092872333509358
19	3	1	0.9915	0.065	2.6304078021863804	0.2034803712240495	2.9041359707369265	-0.3092872333509358
19	3	2	1	0	2.6304078021863804	0.2034803712240495	3.4429273071592372	-0.5914629830591351
20	2	1	0	1	2.0086326210810497	-0.5545270682395393	-0.3662429617560331	0.7789286751700154
