gene_name	sup_latent	pel_latent	ratio	p.value
88	7.144178349985944	5.4685437655812486	1.3064133078628828	0.832125
89	101.68893214865565	110.768249521776	0.9180332142800953	0.29875
90	41.657784128386574	36.64072337193339	1.136925810812355	0.756875
91	590.4905604044332	603.8107244220561	0.9779398353178101	0.442
92	86.17752829974373	92.1463130640106	0.9352249203924136	0.33925
93	1118.9008441527508	990.6379455623835	1.1294750510667675	0.785125
94	182.34438806839	172.19016872538546	1.0589709587845217	0.645625
95	25.186280570804353	24.128281206523383	1.0438489320986082	0.592375
96	778.9844439064136	792.8356728854867	0.9825295083801385	0.4445
97	27.02651821022448	26.642564675722618	1.0144112828166176	0.522625
98	56.864078376447324	43.22033581761113	1.3156787725207062	0.93875
99	138.59315319886937	135.21614599911732	1.0249748813264807	0.56
