gene_name	sup_latent	pel_latent	pvalue
56	4.957193746572935	5.6075909163856865	1
57	1.0120333240598673	1.2879034089168089	0.874
58	1.5216300906090994	1.8155168202445915	0.9205
59	4.822061386562302	6.62265146946384	1
60	4.282888802213421	5.4856283405820765	1
61	4.644940716712751	6.800633413446138	1
62	5.227721231821443	3.7654116585403647	0
63	5.111104294683274	5.454732752925884	0.966
64	4.037692940463687	5.792764654273853	1
65	3.8552311104625914	5.948366797017737	1
66	4.456192984104123	5.41219663600528	1
67	0.6082830663610258	0.863808667703853	0.84
68	1.7485085141081842	0.5745446343000418	0
69	4.755920039376431	5.2281122613088105	0.9965
70	4.967876117220914	6.647220711557658	1
71	4.263269932848135	3.7578882669251437	0.004
72	5.3692212850998295	5.23069324917911	0.2365
73	6.442505846682498	8.204021380488246	1
74	4.867803420301444	5.952937934816044	1
75	3.866555742409476	1.5250960589836304	0
76	5.862688323660636	5.577472651831345	0.063
77	1.2070509686555888	0.45402338673067955	0
78	4.209713529788107	4.615097023384816	0.991
79	2.853915853004974	2.2102947645847024	0
80	-0.5323584646118464	-0.1083091938589886	0.8905
81	3.9714542927621794	5.083315047053102	1
82	5.764318242377421	5.642243646659999	0.274
83	2.45895313872221	3.8531003988321055	1
84	4.427176523150948	5.260744071687163	1
85	5.703564899539355	3.8255716246319333	0
86	4.748646063412485	6.005151139604434	1
87	7.2716701207015415	7.462368082266263	0.851
88	5.330807663521108	4.715977896250445	0
89	4.210766707429355	6.07464313013865	1
90	7.033996643024583	7.499975408298632	0.991
91	4.722371705776968	6.311115755318104	1
92	5.641807918952916	5.340755156009682	0.045
93	6.9900332872071544	7.865763727538464	1
94	5.798768370015965	7.233816901007466	1
95	3.9978965743172825	3.752387261737058	0.0995
96	4.301002586112613	5.236731903135501	1
97	3.295121168360402	4.532917854424825	1
98	4.749468477536993	6.531753310224113	1
99	4.479402691137888	5.447662889588075	1
100	-0.0942989860693618	1.1227015851358408	1
101	3.5158536795441924	5.4335495936981815	1
102	5.229750581767853	6.365595770001292	1
103	1.3698018147243545	3.959057838702712	1
104	4.33491433952458	4.4264659387256335	0.683
105	6.384227371236184	6.4416935601195675	0.6125
106	-0.2281556720357416	1.4563516117898434	1
107	4.47425210747395	5.771243661361145	1
108	0.25325106325528546	1.7180779214692057	1
109	4.79186920239248	6.3701399021117	1
110	2.368481928714135	4.513367305838585	1
111	4.2704757652111835	4.111830851221725	0.197
112	6.618874874900561	5.580171763289025	0
113	3.143598153106688	4.579111321467568	1
114	3.5875598678332703	5.210130873417398	1
115	2.1411088309165787	2.8900045714185216	1
116	4.523287124938001	5.640107932787807	1
117	1.7250201055709615	1.2378656055226127	0.009
118	2.7540708374965917	2.0719403091016177	0
119	2.5787746359402277	4.081289538881709	1
120	3.8271611313212697	5.697252187867367	1
121	5.123087570172702	6.641872035471584	1
122	5.557970694990802	6.503234529193687	1
123	0.11752242072654116	-0.48623140025520195	0.0295
124	0.7228976528193924	1.8260362109663142	1
125	5.3624928334222375	5.860953768793183	0.9955
126	4.868782398595025	5.1797873049867444	0.9505
127	6.381313927685042	6.1030727842142944	0.0545
