gene_name	baseMean	log2FoldChange	padj
ENSG00000004059.10	9789.19406577952	-1.55827257461512	1.595961711832833e-11
ENSG00000004139.13	1062.7216961557144	1.1190185662034182	5.709020099302686e-6
ENSG00000004142.11	7649.782207089506	-1.7026277186451133	1.4277714888479205e-14
ENSG00000004455.16	20807.394387183536	-1.0075136564963236	2.3433745622491484e-5
ENSG00000004468.12	6162.77442637411	0.2466465587662994	0.29635256297761975
ENSG00000004478.7	5147.715487785513	-0.7362761131193202	0.0012597318053092414
ENSG00000004487.16	8373.216882329147	-0.7642263057288325	4.774245223295425e-4
ENSG00000004534.14	15310.823954367577	1.9741169112907992	1.5929061453707167e-20
ENSG00000004660.14	333.7153126741888	0.6445940849159019	0.036587203559195716
ENSG00000004700.15	1947.8492573616913	-0.3320653603259332	0.18056767819488231
ENSG00000004766.16	1527.0174765850095	1.4303416666660185	2.281220967550639e-9
ENSG00000004776.12	27.46044903015103	1.3169060136894497	0.1012531782601473
ENSG00000004777.18	3184.378306117141	4.536617476675337	1.3856438611543255e-69
ENSG00000004779.9	3723.9821384373813	-1.3257869941920801	8.96496506148872e-9
ENSG00000004838.13	186.87981356190883	2.799058492714594	4.096039245766121e-12
ENSG00000004864.13	1712.4777123399238	-0.27829090237415677	0.26298055997283654
ENSG00000004866.20	3958.0806129834027	-0.6166421312620284	0.012562810671993245
ENSG00000004897.11	5092.822501555879	-0.24101288376906801	0.3291488974581787
ENSG00000004961.14	981.7182248645802	-1.5336129923473127	7.519610145410964e-10
ENSG00000004975.11	1125.4036576559668	1.2752814020127468	7.759185697275145e-6
ENSG00000005007.12	9699.497189291058	1.8752002654305964	1.2976956043467032e-15
ENSG00000005020.12	1082.3049725344367	-1.1640127822151445	4.05400735106106e-6
ENSG00000005022.5	28409.32316248369	-1.951940536186891	5.301899542547512e-19
ENSG00000005059.15	2349.698732831611	-1.200093324298974	1.045791266029909e-6
ENSG00000005075.15	2794.444468281905	-1.8861891058522615	6.968336573621284e-13
ENSG00000005100.12	3209.149166147454	-1.086808035115325	1.0112481516255266e-4
ENSG00000005102.12	690.9486872560419	-1.413014300937853	8.5097614871995e-8
ENSG00000005156.11	6099.442266588008	0.14033281456727736	0.5889768014649652
ENSG00000005175.9	698.0331593179492	-0.35092854369551624	0.221919440998478
ENSG00000005187.11	803.053584490604	-0.8839703257387455	0.0011901183560601026
ENSG00000005189.19	757.9491250697307	0.11296441904328818	0.7254038656405374
ENSG00000005194.14	3401.602650756499	-1.5811129000647335	4.043598281365121e-13
ENSG00000005206.16	7322.8865213811605	2.931974948524505	8.724564387582351e-23
ENSG00000005238.19	1381.0585082460814	0.3544660362130866	0.2100427984614999
ENSG00000005302.18	85525.77303474405	1.634669724590488	3.712352783080989e-10
ENSG00000005339.14	2782.157180477916	0.4388185344840043	0.16437831153856966
ENSG00000005379.16	8447.83557049517	2.7512036322910363	6.209286760193552e-31
ENSG00000005381.7	42.5067700729724	-2.200834674436976	5.313657349812777e-4
ENSG00000005436.13	769.3181640342752	0.002345760781000748	0.9943896167889655
ENSG00000005448.16	8957.164690775278	-0.7284145696329559	0.005751281104840193
ENSG00000005469.11	923.8001317272247	0.6922482034408183	0.013753685558301134
ENSG00000005471.17	662.5952786977882	1.525997098560947	2.4722071913571955e-9
ENSG00000005483.20	4150.29882404623	0.5124784776060268	0.13594949124756736
ENSG00000005486.16	1529.6765350920034	-1.4355572059626236	3.1410093784650773e-9
ENSG00000005700.14	2327.482436196926	-0.285340179593975	0.23949423852664284
ENSG00000005801.17	3857.738352518303	0.6227426801888305	0.006008307141107233
ENSG00000005810.17	22030.71766901613	-0.11035107848379216	0.6841856994204879
