gene_name	baseMean	log2FoldChange	padj	condition
YAL002W	518.7904881121286	-2.029678452860481	2.3152358030012772e-11	WT_42C
YAL003W	6325.200382758645	0.22972486196842068	0.46686538743510825	WT_42C
YAL004W	0	NA	NA	WT_42C
YAL005C	40734.28970576076	1.700898105077996	4.5325876547918794e-11	WT_42C
YAL007C	427.1621358947289	1.4426446749105994	6.340968382265522e-6	WT_42C
YAL008W	225.6589355451528	1.7344807711163561	4.245498348281402e-7	WT_42C
YAL009W	168.03991257379516	-1.381363197206798	1.4320041208482816e-4	WT_42C
YAL010C	181.29142999682796	-0.6955740023506328	0.07004810343577327	WT_42C
YAL011W	192.06939897802081	-2.1675013700885115	2.3637133909909598e-09	WT_42C
YAL012W	571.1524614913346	0.1538099149008691	0.6802294459388561	WT_42C
YAL013W	255.58095799287133	0.4777252991295538	0.17229034117853298	WT_42C
YAL014C	475.52899480368194	0.5323552863550892	0.08921034085856465	WT_42C
YAL015C	458.58468537627454	0.8526040161232198	0.0046634961054328	WT_42C
YAL016C-A	1.6116313793718504	-1.5722472175896485	0.5877307166251373	WT_42C
YAL016C-B	43.85025587491971	-1.3691767665587018	0.016302589160939296	WT_42C
YAL016W	2645.4219031701477	1.3478708263514092	9.732251583109622e-6	WT_42C
YAL017W	1893.6794164685757	-1.6944453111506337	2.6255955829263345e-9	WT_42C
YAL018C	43.76509743677218	0.13893921150453578	0.8328961514537911	WT_42C
YAL019W	1069.3051831657922	-1.1128683979570904	7.445591236378957e-5	WT_42C
YAL019W-A	0.9755820808126562	-2.5831373313344996	0.46699759385546863	WT_42C
YAL020C	325.27008639700273	-0.3153696084353839	0.3998946144904484	WT_42C
YAL021C	745.5506269003979	-0.47392304149075565	0.12473105051263221	WT_42C
YAL022C	756.9297039599217	-0.15281533712781264	0.6947107776422441	WT_42C
YAL023C	4560.538355683931	-1.2393775846156296	5.016302023604977e-5	WT_42C
YAL024C	139.2973373963756	-1.2224020729638139	0.0017176831042174402	WT_42C
YAL025C	569.3205091129101	1.6547585314176818	1.4559093801036554e-5	WT_42C
YAL026C	1826.059649690938	-1.6961573941333474	2.777508056746317e-10	WT_42C
YAL026C-A	58.05175368422346	-1.712325489747434	0.0014921958640924122	WT_42C
YAL027W	114.5896159270519	0.15042830715224856	0.7531973515019749	WT_42C
YAL028W	153.65507007651473	-0.9541778935908894	0.014731121332696164	WT_42C
YAL029C	1927.686783592592	-2.6108616496131662	2.9859799658380726e-20	WT_42C
YAL030W	124.74747629951368	0.9318485696547535	0.01437910005489654	WT_42C
YAL031C	273.7520620204609	-1.2156261541521423	8.876101606021967e-4	WT_42C
YAL031W-A	6.666406067640038	-1.5931684180449832	0.2577408370429316	WT_42C
YAL032C	181.96890186160095	-0.008127292964607425	0.9855445468894866	WT_42C
YAL033W	220.5395934711207	2.284774181852684	9.286283390975417e-12	WT_42C
YAL034C	114.31512840487459	-1.489213499420671	2.4167186069443992e-4	WT_42C
YAL034C-B	95.01513492248793	1.8563371471573418	5.979961999865126e-6	WT_42C
YAL034W-A	43.51686894618263	1.6679763505999499	0.002441214550291724	WT_42C
YAL035W	5312.22796982234	1.401058894040868	2.47021169281668e-7	WT_42C
YAL036C	1832.25940146303	1.9549459668075546	3.429996303107313e-13	WT_42C
YAL037C-A	205.8405357177327	1.2826823248298176	5.358650290650338e-4	WT_42C
YAL037C-B	339.642846910183	0.6131023413720974	0.09246965596948871	WT_42C
YAL037W	82.59051054576078	0.4508557138472788	0.32799106086527247	WT_42C
YAL038W	21523.064364527658	1.1756485807951675	6.967187007518442e-5	WT_42C
YAL039C	637.4362477417569	1.2998033997853757	1.6305675383383772e-5	WT_42C
YAL040C	98.10794456743137	-2.045310647949192	5.6689704696086395e-6	WT_42C
YAL041W	620.9101600394973	-1.0915613632523016	1.883289751138341e-4	WT_42C
YAL042C-A	0.7078505705861602	-2.118388997312214	0.6105600911492388	WT_42C
YAL042W	2654.520033500586	-0.3104346994419161	0.36908362315109383	WT_42C
YAL043C	332.1727843264829	-0.5068112593417369	0.14848987347132073	WT_42C
YAL044C	978.5833460153426	2.7346115716950363	2.7059819724629805e-18	WT_42C
YAL044W-A	4.816077564797851	1.9396170073992236	0.22161153211428206	WT_42C
YAL045C	0.7656348542257844	0.013366730041533484	0.9975775669194077	WT_42C
YAL046C	133.1978060016907	2.762349717912703	6.64228823963769e-10	WT_42C
YAL047C	174.37898679326378	-0.308656566752944	0.4792031451082929	WT_42C
YAL047W-A	2.661760581556371	-0.6225514928494196	0.7987936367913231	WT_42C
YAL048C	309.3066700713704	-1.0901906314349004	0.0011527299658031114	WT_42C
YAL049C	456.4763076338145	1.2788615106597057	4.903771656416367e-5	WT_42C
YAL051W	588.4824593373221	-0.9566173574709149	0.0016362507870308508	WT_42C
YAL053W	1706.0804022969655	-0.8020754707233322	0.016942621092871667	WT_42C
YAL054C	180.32601291543585	-1.4496828671995559	6.208596448472037e-5	WT_42C
YAL055W	111.32366820632843	1.4842064228431817	3.605301966978202e-4	WT_42C
YAL056C-A	4.839174337562209	-1.6740889993970507	0.32874695934257026	WT_42C
YAL056W	1128.9557414633427	-2.070183404747839	7.869168130797968e-14	WT_42C
YAL058W	349.9105752644417	-1.2178068393172374	0.001121934836650914	WT_42C
YAL059C-A	0	NA	NA	WT_42C
YAL059W	106.02746144603836	1.9650965634929127	3.27470170968255e-6	WT_42C
YAL060W	6347.774150817455	1.1269073705367156	3.443415564382381e-5	WT_42C
YAL061W	1652.3307667490947	0.26277397862425317	0.39669932914062406	WT_42C
YAL062W	223.09161025093493	-1.249713746807776	3.5419240303451226e-4	WT_42C
YAL063C	245.2834412557358	-1.6087103219639056	3.885115877147959e-5	WT_42C
YAL063C-A	36.75922923935727	-1.7539969503755095	0.005179083609136596	WT_42C
YAL064C-A	98.45876586106698	-1.7768318803786742	8.866745539210269e-5	WT_42C
YAL064W	94.9115070023177	0.7987700172622593	0.059751855797436984	WT_42C
YAL064W-B	27.5919824666265	-1.772751100241106	0.013454019909380508	WT_42C
YAL065C	22.326509522466885	-2.6628236903885805	0.0018594371767326865	WT_42C
YAL066W	1.9671085693645751	-0.7055913626397808	0.7956605342297441	WT_42C
YAL067C	58.99200537014673	-0.4295637162566367	0.42013042006376095	WT_42C
YAL067W-A	0.9769550054851055	0.22017845656845075	0.9581807260003377	WT_42C
YAL068C	2.582771835308539	1.7939782866073657	0.403572502487113	WT_42C
YAL068W-A	1.0518600869113608	2.666628536703799	0.4400887018004567	WT_42C
YAL069W	3.8447756834318527	6.185750564635255	0.004565010201362201	WT_42C
YAR002C-A	1708.6483980932578	1.8893365074982817	1.021273531303819e-8	WT_42C
YAR002W	281.4802774350181	1.5852263938319902	6.553766287809286e-7	WT_42C
YAR003W	461.2233924911513	-1.0443563441673611	7.109481916366298e-4	WT_42C
YAR007C	1468.0578548468923	1.574498741345766	2.8488647410418268e-8	WT_42C
YAR008W	250.905277054897	0.5468448267111427	0.11867256402521967	WT_42C
YAR009C	124.26603161698881	-1.4621910842473498	0.0026723929334387187	WT_42C
